CustomerID,BirthDate,SSN,AccountID,AccountOpened,AccountType
0,1980,961-74-9189,42.0,2024-02-14,savings
1,no date,535-03-6798,14.0,2034-08-23,cd
2,1976-09-05,409-53-2341,,1990-06-12,cd
3,2003-09-08,833-73-7982,28.0,2058-12-05,checking
4,1963-10-01,764-85-3328,20.0,2028-08-20,cd
5,2023-04-21,464-94-2526,82.0,2090-03-17,cd
6,1953-02-08,877-95-3160,68.0,1972-09-08,checking
7,1994-12-05,415-13-1837,22.0,2048-11-26,cd
8,1976-07-03,136-74-7137,99.0,2044-02-19,savings
9,1997-06-23,144-50-0945,83.0,2058-07-27,checking
10,1955-03-29,707-35-6016,7.0,1979-04-01,savings
11,2002-11-22,000-11-2931,72.0,2063-03-23,cd
12,1986-10-08,521-74-5784,61.0,1988-12-20,savings
13,2021-04-23,216-33-7755,13.0,2036-03-19,savings
14,1988-01-29,331-69-4248,5.0,2041-03-19,checking
15,1957-06-14,855-11-9732,0.0,2002-08-13,savings
16,1977-08-15,791-19-3113,8.0,1983-01-03,savings
17,1997-05-26,074-14-2019,79.0,2044-01-14,savings
18,1992-09-05,489-48-0039,79.0,2004-07-17,cd
19,1965-05-29,769-18-8348,53.0,1969-03-13,checking
20,2012-01-05,153-04-1699,11.0,2048-05-13,savings
21,1964-11-29,490-83-5058,4.0,2002-11-17,savings
22,1951-04-15,386-16-0414,39.0,1951-06-17,checking
23,1978-10-28,003-62-6013,92.0,1989-10-09,savings
24,1973-11-13,988-36-6577,45.0,1984-10-14,cd
25,1999-12-17,921-22-6529,26.0,2051-09-01,checking
26,1954-09-17,266-05-1730,74.0,2009-03-12,savings
27,1964-06-08,232-96-9489,52.0,1999-09-24,cd
28,1996-06-23,636-60-4637,49.0,2048-08-24,savings
29,1966-12-08,912-21-0260,91.0,2004-07-12,cd
30,2001-03-20,901-27-2061,51.0,2007-10-02,savings
31,1993-07-26,955-38-6370,99.0,2065-12-19,cd
32,1995-06-05,799-69-2869,18.0,2055-01-19,savings
33,1991-05-21,939-52-1381,34.0,2000-10-21,cd
34,2006-07-12,834-82-3052,51.0,2028-06-16,cd
35,1989-07-22,298-81-6044,30.0,2063-01-25,cd
36,2004-03-23,868-05-1709,53.0,2041-04-15,cd
37,2009-03-25,945-90-9359,58.0,2059-06-18,checking
38,1977-08-29,976-73-8395,43.0,1993-06-09,cd
39,1980-04-05,775-43-3557,55.0,2033-03-18,cd
40,2017-11-17,018-71-0951,18.0,2038-02-16,cd
41,1993-02-05,366-34-1671,45.0,2003-10-09,cd
42,2017-05-09,249-23-3355,87.0,2073-01-28,checking
43,1980-09-18,242-31-4902,65.0,2020-12-22,savings
44,1963-12-22,792-06-3390,70.0,2028-10-21,checking
45,2016-08-05,265-41-1270,53.0,2074-11-16,cd
46,1956-04-01,562-66-0295,48.0,2025-06-12,checking
47,1954-10-07,843-28-8850,94.0,2000-06-03,checking
48,2011-08-11,972-39-9452,59.0,2081-03-09,cd
49,1984-06-10,548-68-9963,80.0,2024-01-22,savings
50,1966-01-03,505-33-6915,26.0,2022-02-01,cd
51,1986-06-11,771-39-1921,35.0,2001-01-29,cd
52,1991-03-04,182-53-0857,58.0,2055-04-14,savings
53,2005-03-18,105-99-4333,49.0,2018-04-15,savings
54,1957-08-07,449-31-1918,73.0,1995-03-10,cd
55,2001-12-26,288-83-4965,44.0,2067-03-31,savings
56,2014-07-07,770-48-6105,13.0,2078-06-25,cd
57,1988-02-19,981-81-3746,70.0,1999-06-03,savings
58,1967-05-28,874-87-1264,38.0,1969-06-02,cd
59,1953-03-08,760-55-9579,39.0,2026-10-03,checking
60,1988-05-07,157-10-6505,8.0,2000-07-24,savings
61,1993-10-19,459-75-5036,13.0,2044-01-20,savings
62,1951-09-16,629-94-8395,7.0,1983-02-05,cd
63,1974-07-16,922-11-6305,80.0,2012-03-07,cd
64,2005-12-13,942-73-3242,22.0,2028-12-01,checking
65,1953-05-26,931-56-5440,79.0,1989-08-02,cd
66,1979-11-08,884-82-6070,89.0,1984-06-05,savings
67,2019-07-15,700-41-5551,8.0,2094-03-04,cd
68,1962-01-21,671-81-0576,99.0,1963-09-19,checking
69,1998-02-20,057-21-9178,6.0,2048-10-19,savings
70,2003-01-24,589-35-7220,81.0,2037-05-19,cd
71,1965-07-02,088-69-5390,71.0,2029-07-06,checking
72,1993-08-22,984-48-9496,84.0,2064-02-06,cd
73,1979-07-15,035-98-6036,89.0,2029-02-17,savings
